Rank,Title,Developer,Version,Price (USD),Rating,Votes,Content Rating,Category,Min Installs,Max Installs,Updated,Rank Change (Day),Rank Change (Week),URL
310,The World of Magic,Com2uS,1.3.3,$0.00 ,4.36,38789,Low Maturity,Arcade & Action,1000000,5000000,1/28/13,64,39,https://play.google.com/store/apps/details?id=com.com2us.imo.normal.freefull.google.global.android.common
202,Carbon (Premium),ClockworkMod,1.0.0.1,$4.99 ,4.71,75,Everyone,Tools,1000,5000,1/30/13,,,https://play.google.com/store/apps/details?id=com.koushikdutta.backup.license
290,Plex for Android,"Plex, Inc.",2.2.3.3,$4.99 ,4.15,2794,Everyone,Media & Video,50000,100000,11/18/12,9,16,https://play.google.com/store/apps/details?id=com.plexapp.android
282,Red Warfare,Smile Studio,2.4.0,$0.00 ,4.27,1121,Everyone,Arcade & Action,100000,500000,1/28/13,2,-29,https://play.google.com/store/apps/details?id=air.com.sinetimes.redwar.europe
291,Catan,USM,3.0.2,$3.99 ,3.67,3442,Everyone,Brain & Puzzle,100000,500000,12/6/12,12,-16,https://play.google.com/store/apps/details?id=com.exozet.android.catan
285,N.O.V.A. 3 - Near Orbit...,Gameloft,1.0.4,$6.99 ,4.14,21740,Medium Maturity,Arcade & Action,100000,500000,12/21/12,-1,-11,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftN3HM
298,ZOOKEEPER BATTLE,KITERETSU inc.,1.1.4,$0.00 ,3.91,8267,Everyone,Brain & Puzzle,1000000,5000000,1/28/13,30,20,https://play.google.com/store/apps/details?id=jp.kiteretsu.zookeeperbattle.google
289,DragonFlight for Kakao,NextFloor,1.1.4,$0.00 ,4.62,2753018,Everyone,Arcade & Action,10000000,50000000,1/9/13,5,0,https://play.google.com/store/apps/details?id=com.NextFloor.DragonFlightKakao
266,"Tango Text, Voice, Video Calls",Tango,2.5.35414,$0.00 ,4.34,451292,Everyone,Social,50000000,100000000,1/8/13,-58,-65,https://play.google.com/store/apps/details?id=com.sgiggle.production
286,The Simsâ„¢ 3,Electronic Arts Inc,1.0.47,$6.99 ,3.32,8984,Medium Maturity,Casual,100000,500000,1/15/13,12,51,https://play.google.com/store/apps/details?id=com.eamobile.sims3_na_qwf
292,SketchBook Pro for Tablets,Autodesk Inc.,2.5.2,$4.99 ,4.02,1492,Everyone,Media & Video,100000,500000,12/26/12,1,31,https://play.google.com/store/apps/details?id=com.adsk.sketchbookhd
288,World of Goo,2D BOY,1.0.5,$4.99 ,4.8,12464,Low Maturity,Brain & Puzzle,500000,1000000,12/18/12,-10,-4,https://play.google.com/store/apps/details?id=com.twodboy.worldofgoofull
293,ELGARD,"RNTSMedia.Co.,Ltd.",1.04,$0.00 ,4.1,4958,Low Maturity,Arcade & Action,1000000,5000000,11/6/12,10,33,https://play.google.com/store/apps/details?id=com.rnts.elgardus
295,Angry Birds Star Wars HD,Rovio Mobile Ltd.,1.1.2,$2.99 ,4.08,2492,Everyone,Arcade & Action,100000,500000,1/31/13,8,37,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsstarwarshd.premium.iap
296,Angry Birds Space Premium,Rovio Mobile Ltd.,1.4.0,$0.99 ,4.39,14127,Everyone,Arcade & Action,500000,1000000,1/10/13,23,46,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsspace.premium
297,Slots Heaven:FREE Slot Machine,Super Lucky Casino,1.3,$0.00 ,4.49,53707,Medium Maturity,Cards & Casino,1000000,5000000,1/30/13,8,-2,https://play.google.com/store/apps/details?id=com.twelvegigs.heaven.slots
302,Slots Masterâ„¢,geaxgame,1.1.4,$0.00 ,4.57,2343,Medium Maturity,Cards & Casino,100000,500000,1/25/13,8,21,https://play.google.com/store/apps/details?id=com.geaxgame.slotsmaster
311,BackCountry Navigator PRO GPS,CritterMap Software LLC,Varies with device,$9.99 ,4.5,2254,Low Maturity,Travel & Local,50000,100000,1/30/13,18,35,https://play.google.com/store/apps/details?id=com.crittermap.backcountrynavigator.license
264,ì•„ìù´ëŸ¬ë¸Œì»_í”_ for Kakao,PATISTUDIO Inc.,1.0.11,$0.00 ,3.89,76123,Low Maturity,Casual,5000000,10000000,1/23/13,-40,-46,https://play.google.com/store/apps/details?id=com.patistudio.milc4kakao
294,Tapatalk Forum App,Quoord Systems Limited,2.4.10,$2.99 ,4.54,50028,Medium Maturity,Social,100000,500000,1/19/13,-8,-10,https://play.google.com/store/apps/details?id=com.quoord.tapatalkpro.activity
300,Pocket Legends,Spacetime Studios,2.0.0.5,$0.00 ,4.53,79460,Medium Maturity,Arcade & Action,1000000,5000000,1/9/13,-7,48,https://play.google.com/store/apps/details?id=sts.pl
314,Nexus Media Importer,Homesoft,4.4,$2.99 ,4.46,1928,Everyone,Media & Video,100000,500000,1/27/13,19,-20,https://play.google.com/store/apps/details?id=com.homeysoft.nexususb.importer
305,Gangstar Rio: City of Saints,Gameloft,Varies with device,$6.99 ,3.67,6719,High Maturity,Arcade & Action,100000,500000,1/17/13,4,4,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftG4HM
299,MADDEN NFL 12 by EA SPORTSâ„¢,Electronic Arts Inc,1.0.4,$4.99 ,3,5791,Everyone,Sports Games,100000,500000,1/22/13,7,33,https://play.google.com/store/apps/details?id=com.ea.game.madden12_na
323,Inotia 4,Com2uS,1.1.5,$0.00 ,4.63,197821,Low Maturity,Arcade & Action,1000000,5000000,1/22/13,9,17,https://play.google.com/store/apps/details?id=com.com2us.inotia4.normal.freefull.google.global.android.common
283,"Moco - Chat, Meet, Games","JNJ Mobile, Inc",2.5.17,$0.00 ,4.21,79525,Medium Maturity,Social,1000000,5000000,1/9/13,-52,-105,https://play.google.com/store/apps/details?id=com.jnj.mocospace.android
321,Tasker,Crafty Apps,1.3.3u2,$6.49 ,4.66,11753,Medium Maturity,Tools,100000,500000,11/22/12,33,51,https://play.google.com/store/apps/details?id=net.dinglisch.android.taskerm
308,iMap Weather Radio,"Weather Decision Technologies, Inc.",2.2.2,$9.99 ,4.21,34,Low Maturity,Weather,1000,5000,11/12/12,-50,,https://play.google.com/store/apps/details?id=com.wdtinc.android.mwr
320,Triple Town,Spry Fox LLC,Varies with device,$0.00 ,4.6,54595,Everyone,Brain & Puzzle,1000000,5000000,1/15/13,24,75,https://play.google.com/store/apps/details?id=com.spryfox.tripletown
306,My Backup Pro,"Rerware, LLC",3.3.2,$4.99 ,4.54,15892,Everyone,Tools,100000,500000,1/29/13,-4,-23,https://play.google.com/store/apps/details?id=com.rerware.android.MyBackupPro
